rep1	rep2	min_tm
A0ABN1IGD7_taxID_584605_model_A	A0ABX0IR11_taxID_1544455_model_A	0.7911
A0A397EYS8_taxID_112090_model	W4FLQ6_taxID_112090_model	0.7880
A0A2T4BLM2_taxID_58853_model	A0A9P9IXR3_taxID_1079267_model	0.7868
A0A9X2E6U5_taxID_2951408_model	A0ABV8U584_taxID_1607685_model	0.7867
A0ABY7ESX1_taxID_6604_model	A0ABY7ET59_taxID_6604_model	0.7864
A0AAN6E594_taxID_2486360_model_A	A0ABR0JJU7_taxID_1016849_model_A	0.7858
A0A396ZRZ2_taxID_112090_model	A0A397EYS8_taxID_112090_model	0.7857
A0A2S6H7D7_taxID_173365_model	A0AA35V075_taxID_414_model	0.7855
A0AAW2PFE9_taxID_2727405_model	A0ABD1S779_taxID_205694_model	0.7854
A0A934KPH0_taxID_291193_model_A	A0ABU3LA82_taxID_3076079_model_A	0.7848
A0A8J2SFI9_taxID_35677_model	A0ABR1G9T2_taxID_44056_model	0.7845
A0A2S5CI23_taxID_1704499_model	A0AA35V075_taxID_414_model	0.7826
A0A1W2TBG8_taxID_77044_model	A0AAN7UYZ7_taxID_326684_model	0.7821
A0A2S5CI23_taxID_1704499_model	A0ABV2RXN8_taxID_375_model	0.7816
A0AAN7UYZ7_taxID_326684_model	A0ACC1PKT5_taxID_42375_model	0.7782
A0A2S5CI23_taxID_1704499_model	A0A2S6H7D7_taxID_173365_model	0.7779
A0A8B8ERQ6_taxID_6565_model_A	A0A8W8NF03_taxID_29159_model_A	0.7761
A0A0V0YE73_taxID_6337_model	A0A0V1MUW3_taxID_268474_model	0.7746
A0A418C2V2_taxID_112090_model	W4FLQ6_taxID_112090_model	0.7743
A0ACB1AS38_taxID_390850_model	A0ACB1AT13_taxID_390850_model	0.7735
A0A9W8GX65_taxID_1052879_model	A0ACC1LSD8_taxID_417177_model	0.7708
A0A397DXJ3_taxID_112090_model	W4FLQ6_taxID_112090_model	0.7705
A0A1W2TBG8_taxID_77044_model	A0ACC2JI51_taxID_1108764_model	0.7693
A0A9W8XCZ5_taxID_1932322_model	A0ABR3RK21_taxID_300254_model_A	0.7690
A0A1I7H5J0_taxID_1231_model_A	Q2Y722_taxID_323848_model_A	0.7684
A0A397EBP2_taxID_112090_model	A0A418BCD2_taxID_112090_model	0.7682
A0A4Q7Z0G8_taxID_388466_model	A0ABV2I0A5_taxID_1209948_model	0.7682
A0A1W2TBG8_taxID_77044_model	A0ABR3RK21_taxID_300254_model_A	0.7679
A0A7C8IQU8_taxID_323545_model	A0AAN7UYZ7_taxID_326684_model	0.7658
A0A397DXJ3_taxID_112090_model	A0A3R7EK41_taxID_112090_model	0.7654
A0A396ZW50_taxID_112090_model	A0A418BCD2_taxID_112090_model	0.7654
A0A934KPH0_taxID_291193_model_A	A0A964TAH5_taxID_2696472_model_A	0.7654
A0A1I6M5T1_taxID_474950_model	A0A4Q7Z0G8_taxID_388466_model	0.7652
A0A1L9Q161_taxID_1036611_model_A	A0ABR4H9X8_taxID_176169_model_A	0.7649
A0A2P7QYD3_taxID_2116704_model	A0A4Q7Z0G8_taxID_388466_model	0.7635
A0A2P7QYD3_taxID_2116704_model	A0ABV2I0A5_taxID_1209948_model	0.7633
A0A1I6M5T1_taxID_474950_model	A0ABV2I0A5_taxID_1209948_model	0.7630
A0A7X6DTB4_taxID_2606439_model_A	A0A918K8V8_taxID_418750_model_A	0.7630
A0A2S5KMK1_taxID_2083153_model	A0AA42B8L4_taxID_1215918_model	0.7629
A0A1W2TBG8_taxID_77044_model	A0A7C8IQU8_taxID_323545_model	0.7627
A0A1W2TBG8_taxID_77044_model	A0ACC1PKT5_taxID_42375_model	0.7624
A0A1I6M5T1_taxID_474950_model	A0A2P7QYD3_taxID_2116704_model	0.7619
A0A1W2TBG8_taxID_77044_model	C0NHD4_taxID_447093_model	0.7617
