sequence_id,filter_status
A0A010RYF3_taxID_1445577_model_A,unknown
A0A016T0A5_taxID_53326_model,unknown
A0A016T1G5_taxID_53326_model,unknown
A0A016WCE7_taxID_53326_model,unknown
A0A024SD58_taxID_1344414_model_A,unknown
A0A024T961_taxID_157072_model,unknown
A0A024TEL4_taxID_157072_model,unknown
A0A024UP64_taxID_157072_model,unknown
A0A066RUA7_taxID_1654360_model,unknown
A0A066Z0K1_taxID_1348663_model,unknown
A0A067BLZ4_taxID_695850_model,unknown
A0A067BRT6_taxID_695850_model,unknown
A0A067C156_taxID_695850_model_A,unknown
A0A067D5R2_taxID_695850_model_A,unknown
A0A067D814_taxID_695850_model,unknown
A0A074RXE5_taxID_1423351_model_A,unknown
A0A074ZDD7_taxID_6198_model,unknown
A0A075B1D3_taxID_988480_model,unknown
A0A077R9S7_taxID_1398559_model_A,unknown
A0A077ZGT3_taxID_36087_model,unknown
A0A084FV70_taxID_563466_model_A,unknown
A0A084G098_taxID_563466_model,unknown
A0A085M8H3_taxID_68888_model,unknown
A0A098SBM4_taxID_1524460_model,unknown
A0A0A0B9F3_taxID_1408250_model,unknown
A0A0A1UJW0_taxID_1086054_model,unknown
A0A0A2VY68_taxID_1245745_model,unknown
A0A0A7CN07_taxID_1202772_model_A,unknown
A0A0A7CP65_taxID_1202772_model,unknown
A0A0A7CPE6_taxID_1202772_model,unknown
A0A0B2VVI5_taxID_6265_model,unknown
A0A0B4FMW4_taxID_3151832_model_A,unknown
A0A0B7A0D2_taxID_1028688_model,unknown
A0A0B7BDN3_taxID_1028688_model_A,unknown
A0A0C2GMT1_taxID_51022_model,unknown
A0A0C3F7Q7_taxID_765440_model,unknown
A0A0D1CHR5_taxID_5270_model_A,unknown
A0A0D2PWI2_taxID_945553_model,unknown
A0A0D3G0L1_taxID_65489_model_A,unknown
A0A0D6LVJ5_taxID_53326_model,unknown
A0A0D6M6M4_taxID_53326_model,unknown
A0A0E0H672_taxID_4536_model,unknown
A0A0E0PEB1_taxID_4529_model,unknown
A0A0F4GBJ7_taxID_1047168_model,unknown
A0A0F4GRH8_taxID_1047168_model,unknown
A0A0F6AHE7_taxID_1129367_model,unknown
A0A0F7RVY0_taxID_49012_model_A,unknown
A0A0F8A0A1_taxID_1043627_model,unknown
A0A0F9J123_taxID_412755_model,unknown
A0A0G2GEG2_taxID_420778_model_A,unknown
A0A0G3BQ28_taxID_413882_model,unknown
A0A0G4HRH3_taxID_1169474_model,unknown
A0A0G4IUQ3_taxID_37360_model,unknown
A0A0G4J7H3_taxID_37360_model,unknown
A0A0G4N7R0_taxID_100787_model,unknown
A0A0H1BRE8_taxID_2060906_model_A,unknown
A0A0H5RCB1_taxID_70186_model_A,unknown
A0A0H5S2I7_taxID_6279_model,unknown
A0A0K6FPV3_taxID_456999_model,unknown
