rep1	rep2	min_tm
A0A6P8I080_taxID_6105_model	A0ABN8SN36_taxID_104178_model	0.6906
A0A6P8I583_taxID_6105_model	A0ABN8SN36_taxID_104178_model	0.6847
A0ABN8M8J6_taxID_104178_model	A0ABN8SN36_taxID_104178_model	0.6686
A0A4U0XX60_taxID_329884_model	A0A6G1HLY0_taxID_703511_model_A	0.6295
A0A6P8I080_taxID_6105_model	A0A6P8I583_taxID_6105_model	0.6098
A0A0E0PEB1_taxID_4529_model	A0A2P5YJV4_taxID_3634_model_A	0.6039
A0A2P5YJV4_taxID_3634_model_A	A0ABD1H5D5_taxID_28513_model	0.6021
A0ABN8LP07_taxID_104178_model	A7SSF6_taxID_45351_model	0.5997
A0A8X6KWP2_taxID_2740835_model	A0AAV4IQ38_taxID_1093978_model	0.5940
A0A6S7IY75_taxID_317549_model_A	A0ABN8SN36_taxID_104178_model	0.5918
A0A0F9J123_taxID_412755_model	A0A918UUM2_taxID_346377_model_A	0.5903
A0A6P8I080_taxID_6105_model	A0ABN8M8J6_taxID_104178_model	0.5845
A0A507F8P2_taxID_246404_model	A0AAD5T9G3_taxID_109957_model	0.5842
A0ABR6YEY6_taxID_2762297_model_A	A0ABS1MHS4_taxID_2802282_model_A	0.5744
A0A0E0PEB1_taxID_4529_model	A0ABD1H5D5_taxID_28513_model	0.5698
A0A5Q4BMU6_taxID_2078593_model	F0X9X8_taxID_655863_model	0.5656
A0ABN8LP07_taxID_104178_model	A0ABN8SN36_taxID_104178_model	0.5578
A0A7R8Z532_taxID_61478_model_A	A0A7R9E5Y2_taxID_170555_model	0.5576
A0A4S4MP01_taxID_2447956_model	A0A6G1HLY0_taxID_703511_model_A	0.5528
A0ABD0JMJ5_taxID_370345_model	B5RHQ6_taxID_515353_model	0.5483
A0AAD9KZ40_taxID_27915_model	A0AAJ8BCI9_taxID_8187_model	0.5441
A0A5N6JRM5_taxID_61186_model	A0A8H4YZH8_taxID_48485_model	0.5438
A0A2G8L6J4_taxID_307972_model	A0AAV4IQ38_taxID_1093978_model	0.5391
A0A9N8WZP9_taxID_5518_model	A0A9P8ZYD0_taxID_152316_model	0.5351
A0ACC1PD21_taxID_42375_model	F0X9X8_taxID_655863_model	0.5347
A0A6P8I080_taxID_6105_model	A0ABN8LP07_taxID_104178_model	0.5343
A0A166CKA0_taxID_1314776_model	A0A8H6MRC0_taxID_2175907_model	0.5341
A0A5Q4BMU6_taxID_2078593_model	A0ACC1PD21_taxID_42375_model	0.5332
A0A5N6JRM5_taxID_61186_model	A0AA37L8J5_taxID_700344_model_A	0.5301
A0A5Q4BMU6_taxID_2078593_model	A0A9P7UD37_taxID_1209932_model	0.5297
A0A4S4MP01_taxID_2447956_model	A0A4U0XX60_taxID_329884_model	0.5289
A0A9N7UE72_taxID_8262_model	A0ACC2HA47_taxID_75939_model	0.5284
A0A2C5YKI6_taxID_2004952_model	A0A5Q4BMU6_taxID_2078593_model	0.5258
A0AA37L8J5_taxID_700344_model_A	A0ABR3V8J2_taxID_85995_model	0.5256
A0A4U0XX60_taxID_329884_model	A0ABQ0CQG4_taxID_79588_model_A	0.5251
A0A179HCZ8_taxID_33203_model	A0A1V6PRI1_taxID_416450_model	0.5249
A0A2C5YKI6_taxID_2004952_model	A0A9P7UD37_taxID_1209932_model	0.5243
A0AAD9QB69_taxID_6130_model	A0ABN8LP07_taxID_104178_model	0.5233
A0A8H7E8W0_taxID_1187904_model	A0AA37L8J5_taxID_700344_model_A	0.5221
A0A8H4YZH8_taxID_48485_model	A0AA37L8J5_taxID_700344_model_A	0.5209
A0A8H4YZH8_taxID_48485_model	A0A8H7E8W0_taxID_1187904_model	0.5200
A0A5N6JRM5_taxID_61186_model	A0A8H7E8W0_taxID_1187904_model	0.5187
A0A2P6U1N3_taxID_3076_model_A	A0A4U0XX60_taxID_329884_model	0.5184
A0A6G1HLY0_taxID_703511_model_A	A0ABQ0CQG4_taxID_79588_model_A	0.5168
A0AAD9QB69_taxID_6130_model	A0ABN8SN36_taxID_104178_model	0.5164
A0A6S7IY75_taxID_317549_model_A	A0ABN8LP07_taxID_104178_model	0.5158
A0A5N6JRM5_taxID_61186_model	A0ABR3V8J2_taxID_85995_model	0.5154
A0A8H4YZH8_taxID_48485_model	A0ABR3V8J2_taxID_85995_model	0.5152
A0A6P8I583_taxID_6105_model	A0ABN8M8J6_taxID_104178_model	0.5144
A0A2P6U1N3_taxID_3076_model_A	A0A6G1HLY0_taxID_703511_model_A	0.5138
A0AAE3YLB9_taxID_137266_model_A	A0ABS1MHS4_taxID_2802282_model_A	0.5129
A0A8T0LKJ4_taxID_325452_model	A0ABN8CQB0_taxID_622444_model	0.5120
A0A9P7UD37_taxID_1209932_model	F0X9X8_taxID_655863_model	0.5099
A0AA37L8J5_taxID_700344_model_A	A0ACC2IQ67_taxID_749465_model_A	0.5089
A0A9N7UE72_taxID_8262_model	A0AA35SFX9_taxID_519541_model	0.5081
A0A5N6JRM5_taxID_61186_model	A0ACC2IQ67_taxID_749465_model_A	0.5078
A0A8H7E8W0_taxID_1187904_model	A0ACC2IQ67_taxID_749465_model_A	0.5036
A0A6P8I080_taxID_6105_model	A0AAD9QB69_taxID_6130_model	0.5027
A0A6P8I080_taxID_6105_model	A0A6S7IY75_taxID_317549_model_A	0.5022
A0A2C5YKI6_taxID_2004952_model	F0X9X8_taxID_655863_model	0.5015
A0A0K6FZ23_taxID_456999_model	A0A8H3AAQ4_taxID_456999_model	0.5008
A0A9P7UD37_taxID_1209932_model	A0AAN5YXZ8_taxID_282268_model	0.4999
A0A5N6JRM5_taxID_61186_model	A0A8H4RXW4_taxID_354080_model_A	0.4987
A0A9P7UD37_taxID_1209932_model	A0ACC1PD21_taxID_42375_model	0.4985
A0A139HFA6_taxID_321146_model_A	A0ABR3V8J2_taxID_85995_model	0.4981
A0A1G6RZ21_taxID_1419277_model	A0A4Z0L9R6_taxID_2562683_model_A	0.4969
A0A139HFA6_taxID_321146_model_A	A0AA37L8J5_taxID_700344_model_A	0.4949
A0A8H7E8W0_taxID_1187904_model	A0ABR3V8J2_taxID_85995_model	0.4948
A0A2G8L6J4_taxID_307972_model	A0A8X6KWP2_taxID_2740835_model	0.4919
A0AAU9WI44_taxID_46732_model	A0ABN8M8J6_taxID_104178_model	0.4918
A0A162K920_taxID_1081108_model	A0A166CKA0_taxID_1314776_model	0.4902
A0A6V7V3D6_taxID_390850_model	A0ACB1AT13_taxID_390850_model	0.4901
A0AAN5YXZ8_taxID_282268_model	A0ACC1PD21_taxID_42375_model	0.4894
A0A8K1LL24_taxID_364589_model	A0A9N7UE72_taxID_8262_model	0.4893
A0A9P8ZYD0_taxID_152316_model	A0AAE8STA2_taxID_2041049_model	0.4880
A0AAE3YLB9_taxID_137266_model_A	A0ABR6YEY6_taxID_2762297_model_A	0.4879
A0A2C5YKI6_taxID_2004952_model	A0ACC1PD21_taxID_42375_model	0.4871
A0A6S7IY75_taxID_317549_model_A	A0AAD9QB69_taxID_6130_model	0.4871
A0A8W8J4S3_taxID_29159_model	A0A8X6KWP2_taxID_2740835_model	0.4863
A0A139HFA6_taxID_321146_model_A	A0A8H4YZH8_taxID_48485_model	0.4859
A0A5Q4BMU6_taxID_2078593_model	A0AAN5YXZ8_taxID_282268_model	0.4856
A0A8H4YZH8_taxID_48485_model	A0ACC2IQ67_taxID_749465_model_A	0.4854
A0A5N6JRM5_taxID_61186_model	A0A8K0WPV5_taxID_80388_model_A	0.4827
A0A139HFA6_taxID_321146_model_A	A0A5N6JRM5_taxID_61186_model	0.4821
A0A1I7VBE5_taxID_7209_model	A0A915N8X1_taxID_6303_model	0.4815
A0A179HCZ8_taxID_33203_model	A0A5N6JRM5_taxID_61186_model	0.4811
A0A2C5YKI6_taxID_2004952_model	A0AAN5YXZ8_taxID_282268_model	0.4803
A0A1G6RZ21_taxID_1419277_model	A0A3B1A6T7_taxID_652676_model_A	0.4798
A0A2T7PF37_taxID_400727_model	P56826_taxID_6610_model	0.4791
A0A8H4RXW4_taxID_354080_model_A	A0A8H7E8W0_taxID_1187904_model	0.4791
A0A9N8WZP9_taxID_5518_model	A0AAE8STA2_taxID_2041049_model	0.4791
A0A8K0WPV5_taxID_80388_model_A	A0AA37L8J5_taxID_700344_model_A	0.4783
A0ABR3V8J2_taxID_85995_model	A0ACC2IQ67_taxID_749465_model_A	0.4764
A0A1V6PRI1_taxID_416450_model	A0A5N6JRM5_taxID_61186_model	0.4759
A0A8K0WPV5_taxID_80388_model_A	A0ABR3V8J2_taxID_85995_model	0.4740
A0AAU9WI44_taxID_46732_model	A0ABN8SN36_taxID_104178_model	0.4726
A0A7S3RCE1_taxID_2903_model	A0A835SWT6_taxID_2026947_model	0.4715
A0A8H4YZH8_taxID_48485_model	A0A8K0WPV5_taxID_80388_model_A	0.4713
A0AAN5YXZ8_taxID_282268_model	F0X9X8_taxID_655863_model	0.4712
A0A179HCZ8_taxID_33203_model	A0AA37L8J5_taxID_700344_model_A	0.4704
A0A139HFA6_taxID_321146_model_A	A0A8K0WPV5_taxID_80388_model_A	0.4703
A0A2T7PF37_taxID_400727_model	B5RHQ6_taxID_515353_model	0.4691
A0A8H4RXW4_taxID_354080_model_A	A0ABR3V8J2_taxID_85995_model	0.4683
A0A074RXE5_taxID_1423351_model_A	A0AA39UQR7_taxID_153913_model_A	0.4661
A0A0B7A0D2_taxID_1028688_model	B5RHQ6_taxID_515353_model	0.4655
A0A8H4RXW4_taxID_354080_model_A	A0ACC2IQ67_taxID_749465_model_A	0.4643
A0A8H4RXW4_taxID_354080_model_A	A0AA37L8J5_taxID_700344_model_A	0.4641
A0A9P6IHM1_taxID_1095194_model	A0AA37L8J5_taxID_700344_model_A	0.4635
A0A8H7E8W0_taxID_1187904_model	A0A8K0WPV5_taxID_80388_model_A	0.4634
A0A1V6PRI1_taxID_416450_model	A0AA37L8J5_taxID_700344_model_A	0.4633
A0A1V6PRI1_taxID_416450_model	A0A8H4YZH8_taxID_48485_model	0.4633
A0A139HFA6_taxID_321146_model_A	A0ACC2IQ67_taxID_749465_model_A	0.4626
A0A409YPA9_taxID_231916_model	A0ABR3V8J2_taxID_85995_model	0.4623
A0A2P5YJV4_taxID_3634_model_A	A0AAV7G5I4_taxID_161865_model	0.4623
A0A2P6U1N3_taxID_3076_model_A	A0A4S4MP01_taxID_2447956_model	0.4621
A0AAE0HNE5_taxID_1854472_model_A	Q2HCB5_taxID_306901_model_A	0.4621
A0A3B1A6T7_taxID_652676_model_A	A0A4Z0L9R6_taxID_2562683_model_A	0.4619
A0A1I7VBE5_taxID_7209_model	A0A915DFA9_taxID_166011_model	0.4608
A0A179HCZ8_taxID_33203_model	A0ABR1WCT8_taxID_335842_model	0.4607
