name	majority_kingdom	frac_Fungi	frac_Metazoa	frac_Bacteria	frac_Viridiplantae	frac_Other_Eukaryota	frac_Unknown
A0A6G1HLY0_taxID_703511_model_A	Fungi	0.4715	0.2102	0.1025	0.1296	0.0317	0.0545
A0A8A4TY47_taxID_2818388_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0ABU9X948_taxID_3143436_model	Bacteria	0.1395	0.0000	0.7907	0.0000	0.0000	0.0698
A0A0S4LNR0_taxID_1742972_model_A	Bacteria	0.0000	0.0000	0.8182	0.0000	0.0000	0.1818
A0ABN8LP07_taxID_104178_model	Metazoa	0.0000	0.9630	0.0000	0.0000	0.0000	0.0370
A0A8K0WPV5_taxID_80388_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A8H4YZH8_taxID_48485_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A1I7H5J0_taxID_1231_model_A	Bacteria	0.0000	0.0000	0.9500	0.0000	0.0000	0.0500
A0A835SWT6_taxID_2026947_model	Unknown	0.0000	0.0000	0.0000	0.2667	0.0000	0.7333
A0A2T3YXJ6_taxID_1042311_model	Unknown	0.4286	0.0000	0.0714	0.0000	0.0000	0.5000
A0A1G6RZ21_taxID_1419277_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A7S4GNC1_taxID_2969_model	Unknown	0.0000	0.0000	0.0000	0.0909	0.0909	0.8182
A0AA88YDI9_taxID_66713_model	Metazoa	0.0000	0.9091	0.0000	0.0000	0.0000	0.0909
A0A7S0LHE4_taxID_221442_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AA95F4Q0_taxID_3121368_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AAE3YLB9_taxID_137266_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
E7CLR7_taxID_34541_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A066Z0K1_taxID_1348663_model	Unknown	0.0000	0.1429	0.1429	0.2857	0.0000	0.4286
A0A918UUM2_taxID_346377_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A5N6JRM5_taxID_61186_model	Fungi	0.8333	0.0000	0.0000	0.0000	0.0000	0.1667
A0A2P5YJV4_taxID_3634_model_A	Viridiplantae	0.0000	0.0000	0.0000	0.8333	0.0000	0.1667
A0A8H4VJ57_taxID_84607_model	Fungi	0.6667	0.0000	0.0000	0.0000	0.0000	0.3333
A0A166CKA0_taxID_1314776_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAN4PFQ7_taxID_293939_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ACC2IQ67_taxID_749465_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A418AND4_taxID_157072_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A0B7A0D2_taxID_1028688_model	Metazoa	0.0000	0.7500	0.0000	0.0000	0.0000	0.2500
F6WL94_taxID_7719_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AA35SFX9_taxID_519541_model	Metazoa	0.0000	0.7500	0.0000	0.0000	0.0000	0.2500
A0AA37L8J5_taxID_700344_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A2G8L6J4_taxID_307972_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AA36JK50_taxID_2562239_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A423XJ27_taxID_1230097_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABQ0CQG4_taxID_79588_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
