name	majority_kingdom	frac_Fungi	frac_Metazoa	frac_Bacteria	frac_Viridiplantae	frac_Other_Eukaryota	frac_Unknown
A0A8H6NEA7_taxID_2175873_model_A	Fungi	0.9394	0.0004	0.0000	0.0000	0.0000	0.0602
A0A0P7YXS6_taxID_113540_model	Metazoa	0.0000	0.9838	0.0000	0.0000	0.0000	0.0162
A0A4D6KM86_taxID_3917_model_A	Viridiplantae	0.0000	0.0000	0.0000	0.9862	0.0000	0.0138
A0AAE0IQ25_taxID_516989_model_A	Fungi	0.9605	0.0000	0.0000	0.0005	0.0000	0.0390
A0A1H7NHR1_taxID_1233_model_A	Bacteria	0.0000	0.0000	0.9991	0.0000	0.0000	0.0009
A0AA36GA08_taxID_96644_model	Metazoa	0.0000	0.9503	0.0000	0.0000	0.0000	0.0497
A0A0P1AML5_taxID_4781_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	0.9117	0.0883
A0A9E8SDB5_taxID_2980107_model_A	Fungi	0.6325	0.0000	0.3428	0.0000	0.0035	0.0212
A0AAP5IG72_taxID_2712845_model_A	Bacteria	0.0000	0.0000	0.9942	0.0000	0.0000	0.0058
A0ABD3VAS0_taxID_1069815_model	Metazoa	0.0000	0.9722	0.0000	0.0000	0.0000	0.0278
A0A9P5DU41_taxID_44412_model_A	Fungi	0.9697	0.0000	0.0000	0.0000	0.0000	0.0303
A0A165TU36_taxID_1314782_model	Fungi	0.9259	0.0000	0.0000	0.0000	0.0000	0.0741
A0A913XDR8_taxID_2652724_model	Metazoa	0.0000	0.8077	0.0000	0.0000	0.0000	0.1923
A0A9N8ZSY3_taxID_1348616_model	Fungi	0.8205	0.0000	0.0000	0.1795	0.0000	0.0000
A0A934SYR6_taxID_2801341_model_A	Bacteria	0.0000	0.0000	0.9706	0.0000	0.0000	0.0294
A0A328Z4K4_taxID_78229_model_A	Bacteria	0.0000	0.0000	0.9825	0.0000	0.0000	0.0175
A0ABU8D3Y1_taxID_1792846_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A183V5H8_taxID_6265_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A7S2ME85_taxID_3111310_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	0.8039	0.1961
A0A918P5V7_taxID_1225769_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0ABD3FX43_taxID_2107226_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A0P7ZSV8_taxID_1666911_model	Bacteria	0.0000	0.0000	0.9762	0.0000	0.0000	0.0238
A0A6N1APE8_taxID_286727_model_A	Bacteria	0.0256	0.0256	0.9487	0.0000	0.0000	0.0000
A0A5N6W347_taxID_1034304_model	Fungi	0.9459	0.0000	0.0000	0.0000	0.0000	0.0541
A0A8H5J9Q5_taxID_751941_model	Fungi	0.9444	0.0000	0.0000	0.0000	0.0000	0.0556
A0ABM7Q8X4_taxID_2675101_model_A	Unknown	0.0000	0.0000	0.4375	0.0000	0.0000	0.5625
A0A3T0JWD4_taxID_317_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0ACC1SLU8_taxID_57161_model_A	Fungi	0.9677	0.0000	0.0000	0.0000	0.0000	0.0323
A0A8H5LGT6_taxID_42677_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A9Q9RQ73_taxID_5127_model_A	Fungi	0.9655	0.0000	0.0000	0.0000	0.0000	0.0345
A0A6A5WT48_taxID_1392246_model	Fungi	0.8077	0.0000	0.0000	0.0000	0.0000	0.1923
A0A2S7YHM0_taxID_176275_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABU1MXI3_taxID_2010972_model	Bacteria	0.0000	0.0000	0.9583	0.0000	0.0000	0.0417
A0A1R1YKF0_taxID_133412_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
