cluster_rep	cluster_size	log_cluster_size	agger_type	cys_in_shell	n_agger_members	group_a	group_b	group_c	group_d	group_e	group_f	group_g	group_h	group_i	group_j	group_k	group_l
A0A6G1HLY0_taxID_703511_model_A	17691	4.2478	type2	0.1470	326	27	4	15	18	62	64	81	9	0	1	11	34
A0AA88AFA7_taxID_3494_model_A	3626	3.5594	type2	0.8958	65	0	0	0	0	0	0	0	0	65	0	0	0
A0A8S3THT1_taxID_6550_model	272	2.4346	type1	0.0000	28	28	0	0	0	0	0	0	0	0	0	0	0
A0AAN5XIX5_taxID_1396_model_A	155	2.1903	unassigned	0.7613	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAF3FHG4_taxID_2138241_model_A	64	1.8062	type1	0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0
A0A2K8T4N2_taxID_2038116_model_A	46	1.6628	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A841H669_taxID_1639882_model	44	1.6435	unassigned	0.7727	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A934KPH0_taxID_291193_model_A	30	1.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7Y6A0K8_taxID_144055_model	29	1.4624	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABV9I266_taxID_2041041_model_A	29	1.4624	unassigned	0.6207	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN8LP07_taxID_104178_model	24	1.3802	type1	0.0000	4	0	4	0	0	0	0	0	0	0	0	0	0
A0A074XND5_taxID_1043002_model_A	23	1.3617	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A4P9WCJ5_taxID_388810_model	16	1.2041	type2	0.3125	2	0	0	0	0	0	0	0	0	0	2	0	0
A0A9K3LNV3_taxID_303405_model	12	1.0792	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A835SWT6_taxID_2026947_model	11	1.0414	unassigned	0.4545	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1G6RZ21_taxID_1419277_model	11	1.0414	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABU4XE34_taxID_3072316_model	10	1.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABU8FF18_taxID_3127667_model	10	1.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABW7AQ69_taxID_3351344_model	10	1.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
