sequence_id,filter_status
A0A010RYF3_taxID_1445577_model_A,unknown
A0A016T0A5_taxID_53326_model,unknown
A0A024TEL4_taxID_157072_model,unknown
A0A024UP64_taxID_157072_model,unknown
A0A066RUA7_taxID_1654360_model,unknown
A0A067BRT6_taxID_695850_model,unknown
A0A067C156_taxID_695850_model_A,unknown
A0A067D814_taxID_695850_model,unknown
A0A074RXE5_taxID_1423351_model_A,unknown
A0A074XND5_taxID_1043002_model_A,unknown
A0A074ZDD7_taxID_6198_model,unknown
A0A075B1D3_taxID_988480_model,unknown
A0A077R9S7_taxID_1398559_model_A,unknown
A0A077ZGT3_taxID_36087_model,unknown
A0A084FV70_taxID_563466_model_A,unknown
A0A084G098_taxID_563466_model,unknown
A0A085M8H3_taxID_68888_model,unknown
A0A098SBM4_taxID_1524460_model,unknown
A0A0A1UJW0_taxID_1086054_model,unknown
A0A0A7CP65_taxID_1202772_model,unknown
A0A0A7CPE6_taxID_1202772_model,unknown
A0A0B2VVI5_taxID_6265_model,unknown
A0A0B7A0D2_taxID_1028688_model,unknown
A0A0B7BDN3_taxID_1028688_model_A,unknown
A0A0C3F7Q7_taxID_765440_model,unknown
A0A0D1CHR5_taxID_5270_model_A,unknown
A0A0D2PWI2_taxID_945553_model,unknown
A0A0D3G0L1_taxID_65489_model_A,unknown
A0A0D6LVJ5_taxID_53326_model,unknown
A0A0D6M6M4_taxID_53326_model,unknown
A0A0E0PEB1_taxID_4529_model,unknown
A0A0F4GBJ7_taxID_1047168_model,unknown
A0A0F7RVY0_taxID_49012_model_A,unknown
A0A0F8A0A1_taxID_1043627_model,unknown
A0A0F9J123_taxID_412755_model,unknown
A0A0G2GEG2_taxID_420778_model_A,unknown
A0A0G4HRH3_taxID_1169474_model,unknown
A0A0G4N7R0_taxID_100787_model,unknown
A0A0K6FPV3_taxID_456999_model,unknown
A0A0K6FZ23_taxID_456999_model,unknown
A0A0L8ICD6_taxID_37653_model,unknown
A0A0L8IDI7_taxID_37653_model,unknown
A0A0N0DC34_taxID_179993_model,unknown
A0A0N4SWM8_taxID_6280_model,unknown
A0A0N4XV59_taxID_27835_model,unknown
A0A0P7APX3_taxID_78410_model,unknown
A0A0R0LTG5_taxID_146866_model,unknown
A0A0R3RX42_taxID_1147741_model_A,unknown
A0A0S4LNR0_taxID_1742972_model_A,unknown
A0A0V0S806_taxID_6336_model,unknown
A0A0V0TGR2_taxID_144512_model,unknown
A0A0V0YE73_taxID_6337_model,unknown
A0A0V1BIN6_taxID_6334_model,unknown
A0A0V1DE70_taxID_45882_model,unknown
A0A0V1ESS6_taxID_6337_model,unknown
A0A0V1G4S3_taxID_6337_model,unknown
A0A0V1I3Y0_taxID_268475_model,unknown
A0A0V1JHS7_taxID_6337_model,unknown
A0A0V1KD92_taxID_6337_model,unknown
