rep1	rep2	min_tm
A0A2L2XEG7_taxID_1898651_model_A	A0A9D2WSC4_taxID_182264_model_A	0.7280
A0A919MPV4_taxID_1050105_model_A	A0ABU4XE34_taxID_3072316_model	0.7175
A0A4Q2V7C7_taxID_451672_model	A0AAD4EYT8_taxID_669026_model_A	0.6917
A0A507EXS7_taxID_246404_model	A0A507FDN0_taxID_246404_model	0.6909
A0A6P8I080_taxID_6105_model	A0ABN8SN36_taxID_104178_model	0.6906
N4XMY1_taxID_665024_model	R0ISP9_taxID_671987_model	0.6894
A0A0G4N7R0_taxID_100787_model	A0A4Q2V7C7_taxID_451672_model	0.6854
A0A6P8I583_taxID_6105_model	A0ABN8SN36_taxID_104178_model	0.6847
A0AAD7ULC6_taxID_2483200_model	F0Y635_taxID_44056_model	0.6835
A0A365MYK5_taxID_948311_model_A	A0A8H5U0D3_taxID_48490_model_A	0.6784
F0Y635_taxID_44056_model	F0YJP7_taxID_44056_model	0.6776
A0A5J5BCR2_taxID_561372_model_A	A0AA88AFA7_taxID_3494_model_A	0.6765
A0A0A7CP65_taxID_1202772_model	T0PU14_taxID_1156394_model	0.6760
A0ABD1H5D5_taxID_28513_model	A0ABD1H6K2_taxID_28513_model	0.6705
A0ABN8M8J6_taxID_104178_model	A0ABN8SN36_taxID_104178_model	0.6686
A0ABQ9EAR7_taxID_220873_model	A0ABY7EVT9_taxID_6604_model	0.6671
A0A1I5DX13_taxID_35799_model_A	A0A8E0V7V4_taxID_52442_model_A	0.6655
E3REK7_taxID_861557_model	N4XMY1_taxID_665024_model	0.6650
A0A1W6SSH7_taxID_1288494_model_A	A0A2T5IGT7_taxID_1231_model_A	0.6638
A0A0P7APX3_taxID_78410_model	A0ACC0V4A4_taxID_47278_model	0.6630
A0A9P7H0N9_taxID_40199_model	A0A9P9JQC5_taxID_48865_model_A	0.6621
A0A8B6CNP6_taxID_29158_model	A0A8B6CPY6_taxID_29158_model_A	0.6617
A0A2A6BT42_taxID_54126_model	A0ABD2I4S2_taxID_97005_model	0.6614
A0A835SWT6_taxID_2026947_model	A0ABP0NLQ2_taxID_1381693_model	0.6605
A0AAV2VYF3_taxID_1238450_model	A0ABR9BSA8_taxID_2774143_model	0.6568
A0A7E6EGY5_taxID_2607531_model	B5RHQ6_taxID_515353_model	0.6566
A0A177WTC8_taxID_403673_model	A0ABQ8FRP3_taxID_1357716_model_A	0.6551
A0A067C156_taxID_695850_model_A	T0PNV2_taxID_1156394_model	0.6543
A0A498S2C2_taxID_6277_model_A	A0A8R1TKI8_taxID_6282_model	0.6542
A0A7S0LHE4_taxID_221442_model_A	R1D043_taxID_2903_model	0.6539
A0A5J9TU90_taxID_38414_model	A0AA88AFA7_taxID_3494_model_A	0.6513
A0A9D4MZZ2_taxID_45954_model	A0ABQ9EAR7_taxID_220873_model	0.6494
A0A498S2C2_taxID_6277_model_A	A0AAF5PZK9_taxID_6293_model	0.6490
B5RHR0_taxID_515355_model_A	D7F7N6_taxID_541230_model_A	0.6484
A0A6J8CL61_taxID_42192_model_A	A0A8B6BKM4_taxID_29158_model_A	0.6477
